Student_ID,First Name,Last Name,Email,Gender,Age,Attendance (%),Study_hours_per_day,Midterm_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Final_Score
1,Wanda,Cross,wanda.cross91@edu.com,Male,18,73,0,42,91,84,4,63.1
2,Robert,Caldwell,robert.caldwell46@edu.com,Female,19,60,13,83,41,76,8,81.33
3,Travis,Monroe,travis.monroe60@edu.com,Male,18,100,22,89,93,42,1,100.0
4,Sherri,Barnes,sherri.barnes44@edu.com,Female,21,71,12,53,71,71,2,76.05
5,Kenneth,Mendoza,kenneth.mendoza35@edu.com,Female,19,94,1,96,78,42,5,79.04
6,Jennifer,Campbell,jennifer.campbell95@edu.com,Female,20,66,3,92,92,81,5,90.07
7,Heather,Dennis,heather.dennis83@edu.com,Female,18,86,17,97,65,81,4,97.86
8,Rodney,Wall,rodney.wall95@edu.com,Male,21,62,19,49,47,93,3,81.25
9,Shane,Rodriguez,shane.rodriguez83@edu.com,Male,22,77,15,56,54,73,4,80.86
10,Joshua,Wise,joshua.wise38@edu.com,Female,22,73,6,61,65,46,6,72.69
11,John,Lyons,john.lyons4@edu.com,Male,19,95,22,74,82,94,2,100.0
12,Yolanda,Foster,yolanda.foster4@edu.com,Male,18,72,18,44,79,61,5,81.72
13,Andrew,Gibson,andrew.gibson40@edu.com,Female,21,87,15,59,71,45,8,78.45
14,Jacqueline,York,jacqueline.york4@edu.com,Female,22,65,3,54,44,53,9,55.33
15,Jack,Mann,jack.mann92@edu.com,Male,20,75,9,37,44,88,0,61.15
16,Aimee,Perez,aimee.perez2@edu.com,Male,19,99,7,84,96,68,1,93.34
17,Emily,Bradley,emily.bradley45@edu.com,Female,22,64,1,62,84,80,8,82.67
18,Patrick,Miller,patrick.miller79@edu.com,Male,18,90,10,89,74,52,7,92.04
19,Kimberly,Noble,kimberly.noble29@edu.com,Female,19,65,23,100,68,63,10,100.0
20,Matthew,Woods,matthew.woods55@edu.com,Female,21,97,16,69,95,49,8,99.7
21,April,Beck,april.beck67@edu.com,Female,19,76,11,30,60,30,4,52.85
22,Elaine,Johnson,elaine.johnson96@edu.com,Male,20,77,3,85,92,64,5,87.23
23,Jennifer,Ayala,jennifer.ayala7@edu.com,Male,18,75,5,72,84,82,7,80.96
24,Madeline,Chavez,madeline.chavez78@edu.com,Male,19,73,19,60,80,44,5,81.21
25,Pamela,Baird,pamela.baird32@edu.com,Male,21,79,7,46,58,37,2,60.48
26,Eric,Mahoney,eric.mahoney4@edu.com,Female,19,96,10,65,86,77,4,94.46
27,Richard,Payne,richard.payne86@edu.com,Female,22,80,9,45,54,93,4,72.02
28,Ronald,Welch,ronald.welch39@edu.com,Female,22,67,12,61,94,63,9,84.08
29,Joseph,Bryant,joseph.bryant18@edu.com,Male,18,67,16,58,80,91,1,86.59
30,Thomas,Thomas,thomas.thomas72@edu.com,Female,18,93,3,38,53,95,5,63.62
31,Shawn,George,shawn.george65@edu.com,Male,18,99,14,35,75,90,7,83.1
32,Randy,Edwards,randy.edwards2@edu.com,Male,20,60,9,79,82,67,4,84.32
33,Mathew,Ruiz,mathew.ruiz20@edu.com,Female,21,76,18,84,53,30,3,85.0
34,William,Bradley,william.bradley24@edu.com,Male,19,93,23,74,48,68,1,87.11
35,Linda,Campbell,linda.campbell72@edu.com,Female,21,81,16,89,88,77,1,99.79
36,Kayla,George,kayla.george85@edu.com,Female,22,69,0,30,48,68,1,49.24
37,Brandon,Wise,brandon.wise41@edu.com,Male,22,90,20,39,81,93,2,89.96
38,Thomas,Jackson,thomas.jackson36@edu.com,Female,22,90,23,40,93,90,5,89.09
39,Lauren,Arnold,lauren.arnold10@edu.com,Male,19,65,10,92,72,54,0,86.43
40,Andrea,Green,andrea.green49@edu.com,Female,19,93,12,95,75,80,6,96.57
41,Lori,Murphy,lori.murphy8@edu.com,Male,22,86,5,97,53,74,3,81.09
42,Leslie,Vega,leslie.vega87@edu.com,Male,20,72,9,88,83,95,4,93.6
43,Shannon,Martinez,shannon.martinez43@edu.com,Female,19,89,6,35,96,87,8,73.95
44,Mark,Pruitt,mark.pruitt48@edu.com,Female,19,72,14,95,88,77,7,100.0
45,Dustin,Bradley,dustin.bradley27@edu.com,Female,18,67,2,30,97,92,10,65.88
46,Kyle,Jennings,kyle.jennings22@edu.com,Male,22,76,11,70,96,53,5,87.82
47,Angela,Summers,angela.summers87@edu.com,Female,21,94,12,46,54,37,3,64.36
48,Amy,Turner,amy.turner93@edu.com,Female,22,87,17,99,84,36,10,98.03
49,John,West,john.west78@edu.com,Female,19,75,8,78,76,31,1,72.37
50,Michael,Cross,michael.cross5@edu.com,Male,18,100,9,30,53,47,6,53.3
51,Brandi,Cabrera,brandi.cabrera33@edu.com,Male,19,64,4,34,95,39,5,68.53
52,Michelle,Colon,michelle.colon9@edu.com,Male,20,93,19,43,65,89,2,78.15
53,Christopher,Kirk,christopher.kirk89@edu.com,Female,22,78,11,91,43,43,1,78.14
54,Shannon,Obrien,shannon.obrien17@edu.com,Male,20,64,23,56,47,68,6,87.14
55,Daniel,Mills,daniel.mills40@edu.com,Female,18,83,20,83,86,70,8,94.81
56,Michael,White,michael.white45@edu.com,Female,22,90,23,54,57,78,7,78.02
57,Megan,French,megan.french83@edu.com,Male,20,80,16,82,98,79,9,100.0
58,Kevin,Romero,kevin.romero98@edu.com,Male,18,78,16,83,60,34,5,82.08
59,Jonathan,Vargas,jonathan.vargas92@edu.com,Female,22,93,4,32,72,65,9,61.71
60,John,Harrell,john.harrell25@edu.com,Female,19,100,12,74,50,80,2,79.16
61,Brittany,White,brittany.white85@edu.com,Male,21,91,20,97,45,48,8,94.49
62,Stephanie,Richardson,stephanie.richardson30@edu.com,Male,19,66,4,51,96,57,1,71.22
63,Claudia,Murphy,claudia.murphy3@edu.com,Female,19,71,18,50,59,77,6,86.47
64,Anna,Jones,anna.jones89@edu.com,Female,21,99,2,40,44,69,3,56.36
65,Judy,Wood,judy.wood68@edu.com,Male,21,67,2,44,74,63,1,65.36
66,Amanda,Landry,amanda.landry43@edu.com,Male,20,96,23,69,43,44,4,83.65
67,Tanya,Stevens,tanya.stevens50@edu.com,Female,21,71,23,88,48,92,5,94.83
68,Samuel,Barrera,samuel.barrera23@edu.com,Male,21,86,1,94,88,63,1,88.14
69,Vincent,Eaton,vincent.eaton67@edu.com,Female,22,69,24,52,48,71,3,78.84
70,Shannon,Jones,shannon.jones89@edu.com,Male,20,60,21,31,45,44,3,59.0
71,Dawn,Frank,dawn.frank63@edu.com,Female,22,83,0,34,70,57,2,54.99
72,Mark,Bautista,mark.bautista92@edu.com,Male,22,87,7,82,92,85,8,97.66
73,Tammy,Gray,tammy.gray52@edu.com,Male,20,76,7,79,45,34,0,70.2
74,Marie,Lucas,marie.lucas2@edu.com,Male,21,93,12,98,97,30,5,97.63
75,Amanda,Aguilar,amanda.aguilar55@edu.com,Male,21,80,17,76,55,79,8,90.93
76,Jennifer,Sparks,jennifer.sparks29@edu.com,Male,22,82,10,94,53,89,3,86.45
77,Jason,Yang,jason.yang55@edu.com,Female,22,96,14,75,80,82,3,95.25
78,David,Hayden,david.hayden43@edu.com,Male,20,69,3,35,88,30,5,55.81
79,Carl,Costa,carl.costa27@edu.com,Male,18,85,21,36,91,32,8,74.2
80,Tony,Howard,tony.howard79@edu.com,Male,18,85,21,52,60,51,3,79.7
81,Jessica,Anderson,jessica.anderson61@edu.com,Female,22,73,16,78,77,36,6,83.69
82,Sean,Moore,sean.moore46@edu.com,Male,22,62,0,62,71,68,1,64.42
83,Mario,Brooks,mario.brooks75@edu.com,Female,22,70,19,53,79,54,10,84.41
84,Laura,Long,laura.long67@edu.com,Male,22,83,20,94,45,72,7,100.0
85,Julie,Castaneda,julie.castaneda14@edu.com,Female,22,65,13,52,65,74,8,77.07
86,Roberto,Santana,roberto.santana93@edu.com,Female,19,100,7,93,87,58,4,93.95
87,Douglas,Hernandez,douglas.hernandez41@edu.com,Female,21,82,21,59,76,51,4,87.3
88,Kevin,Finley,kevin.finley60@edu.com,Female,20,100,23,53,43,41,2,76.22
89,Jessica,Day,jessica.day9@edu.com,Male,18,74,7,93,72,52,0,83.77
